Bruksområde,Navn / Lenke,Beskrivelse
Illustrasjon,[Picsart AI](https://www.picsart.com){target=_blank},Abonnement. Kan lage bilder og redigere video fra tekst til bilde. Oppfattes som realistisk
 ,[Midjourney](https://www.midjourney.com){target=_blank},Gratis 25 første ganger deretter abonnementsbasert. Lager bilder basert på tekst. Omtales som realistisk.
 ,[DALL-E 2](https://www.openai.com){target=_blank},Gratistjeneste for å skape bilder basert på tekst.
 ,[Stable Diffusion](https://www.stablediffusionweb.com){target=_blank},Gratis. Lager bilder basert på tekst.
 ,[NightCafe](https://www.nightcafe.com){target=_blank},Betalingstjeneste (gratis fem om dagen) Enkel og du kan velge stiler. Genrerer høyoppløselige illustrasjoner basert på tekst.
 ,[Craiyon](https://www.craiyon.com){target=_blank},Gratis. Var egentlig en miniutgave av Dall-E. Algoritmen har analysert tusenvis av kunst bilder. Lager illustrasjoner basert på tekst.
 ,[Artbreeder](https://www.artbreeder.com){target=_blank},Gratis og abonnement. Kan lage illustrasjoner basert på bilder og tekst.
 ,[Deep Dream Generator](https://www.deepdreamgenerator.com){target=_blank},Abonnementstjeneste på tre nivåer. Google basert siden 2009. Lager ikke realsitiske illustrasjoner basert på tekst.
 ,[Fotor](https://www.fotor.com){target=_blank},Gratis og abonnement. Egentlig laget for fotoredigering basert på stort lager av arkivfoto. Kan lage ny illustrasjoner basert på tekst.
 ,[Alpaca](https://www.alpacaml.com){target=_blank},Foreløpig beta versjon som er gratis. Du kan skape illustrasjoner i tett kontakt med photoshop.
Datavisualisering,[Datasketch](https://www.datasketch.co/){target=_blank},Betalingstjeneste. Datavisualiseringsverktøy som gjør store datasett til forståelige visualiseringer. Lar deg kombinere dine data med andre åpne datasett for rikere og nyttige data.
 ,[Datawrapper](https://www.datawrapper.de/){target=_blank},"Datawrapper er et datavisualiseringsverktøy som lar deg vise dataene dine som interaktive og responsive diagrammer, kart eller tabeller. Krever ikke koding eller designkunnskap."
SoMe,[Factmata](https://factmata.com/){target=_blank},Betalingstjeneste. Blir brukt å overvåke trendende saker på SoMe.
Fotogjenkjenning,[Vision AI](https://robovision.ai/){target=_blank},"Vision AI gjør det mulig å bygge, distribuere og administrere objekt-og ansikts gjenkjenning. Du kan trene maskinlæringsmodeller til å klassifisere bilder, oppdage objekter, lese håndskrift og bygge bildemetadata ved å bruke forhåndstrente modeller og API."
 ,[Amazon Rekognition](https://aws.amazon.com/rekognition/){target=_blank},"Betalingstjeneste, men starter gratis. Bilde- og videoanalyse. Kan analysere bilder, videoer eller live videostrømmer og identifisere objekter ved hjelp av AI. Kan brukes til innholdsmoderering, ansiktsgjenkjenning, merking og arkivering."
Utvikle egne KI-prosjekter,[IBM Watson Studio](https://www.ibm.com/products/watson-studio){target=_blank},Betalingstjeneste for en KI-plattform som hjelper bedrifter med å bygge og trene maskinlæringsmodeller.
 ,[Google Cloud AI](https://cloud.google.com/products/ai){target=_blank},"Betalingstjeneste der du kan utvikle og teste generative KI tjenester, lage sammendrag av store dokumenter, lage egne KI-baserte databaser, starte maskinlæring og hente informasjon fra ustrukturerte tekster. Laget for utviklere og er foreløpig ikke norsk."
Musikk,[Aiva](https://www.aiva.ai/){target=_blank},Gratis og abonnement. Her kan du lage partiturer som begynner med sjangersentrerte maler og seinere redigere det i en Pro Tools-lignende grensesnitt.
